obscene,comment_text
0,I think they're very outdated. Think it's worth updating them (400 and 600)?
0,", 10 March 2008 (UTC)

Wow u all r fast! It is evening (7pm) here & this info is just breaking. Go wikipedia ! 70.108.92.126  19:22"
0,"I'd love a good panad (cuppa) right now, Jack. Thanks for the offer."
0,"""

You're welcome, but what on earth made you add that bizarre text to the Slant-6 article claiming that Chrysler Australia's 215, 245, and 265 were named """"Slant-6""""? That's wrong. Reality simply didn't unfold that way in this universe, and as far as I know nobody reliable has ever claimed it to be so. The 215, 245, and 265 are upright engines called the Hemi-6, and everyone who cares even just a little bit knows it. So, um, like, why'd you do that? """
0,"Reconsider the brown eyes and don't trick people to agree with you it's your and my choice ok and i say don't delete it and it's true ok.

Oh and think about when it does come you ok then let's see what will you and i say ok."
0,"u smell 2 

its contaygius"
0,"You've touched on the very essence of the problem - I am not Victor9876 just as you are not Favonian. The distintion is that people, act differently under a veil of anonimity, which is what the monikers are for. If I had known in the beginning of the WP experience, that exchanges among monikers can create hostile environments, I may have not used a moniker (though I did try to use my real name and it was rejected). Another issue, is that defenses I have (there are a few that I don't), are so far in the past, and require due diligence, that I'm sure no one would want to take the time to research them. Also, there have been many exchanges that led to responses, that were being resopnded to, only to have a block or ban already in place, when I went to save the response. The truth of the matter is that I am guilty of poor reactions in the past, but my reactions had some justification to them. Perhaps the one that stands out the most, was when Ramiro Martinez' page, allowed his vanity publication to stand in the article, which helps him sell books, where an audio history I had of McCoy, was not allowed to stand, which would possibly have helped McCoy as well. It was the double standard that caused the spiraling down of the conversation. Again, I believe the moniker scenario should go, as Sanger tried to deny the moniker system before his departure. It would make WP a better environment, without agenda seeking socks and monikers. Just my opinion, and everyone else I talk to. Thanks for the reply. 64.134.6.107"
1,"""
I'm sorry, the term was """"fappers,"""" meaning people who enjoy masturbating to said material. Flappers would suggest you're a bit dated and twenties-ish. Maybe instead I should say that undue bias is given to those who aren't offended by pornographic material to begin with. Showing this page to the """"average person"""" generally elicits either offense or a general """"I can't believe Wikipedia..."""" in most of the cases I show it to someone else. Primetech """
0,"Winter Nose 

I replaced the material that the anonymous user 149.63.96.145 removed for no apparent reason; it's a well-known issue with the Maltese breed and is considered pertinent information.  17:23, May 21, 2005 (UTC)"
0,"""

Go have a look at WP:LAME. There's plenty of articles need improving, why not edit one of them instead? 303 """
0,"Resolved.  See Talk:Peachey Carnehan. tc 2007 June 27, 15:44 (UTC)"
0,call me out for being a queer
0,"""{| cellspacing=""""0"""" cellpadding=""""0"""" border=""""1"""" style=""""clear: right; float: right;"""" 
|ARCHIVES
scuba
2004
2005
2006
Jan-Jun 2007
|
Jul-Sep 2007
Oct 2007
Nov-Dec 2007
Jan-Mar 2008
Apr-Jun 2008
Jul-Sep 2008
|
Oct-Dec 2008
Jan-Mar 2009
Apr-Jun 2009
Jul-Sep 2009
Oct-Dec 2009
Jan-Mar 2010
|
Apr-Jun 2010
Jul-Sep 2010
Oct-Dec 2010
Jan-Mar 2011
Apr-Jun 2011
Jul-Dec 2011
|}

Vandalism warning master copy
== Vandalism warning ==
At xxxx you, or someone using your [[Wikipedia:Username|username]] or [[IP address|Internet Protocol address]], [[Wikipedia:Vandalism|vandalized]] the English Wikipedia page [[yyyy]]. Please stop this practice, or you may be [[Wikipedia:Blocking policy|blocked from editing in Wikipedia]]. ~~~~

Links
{| cellspacing=""""0"""" border=""""0"""" bgcolor=""""white""""
|
Deletion guidelines for admins
Wikipedia:Deletion process
Arguments to avoid in deletion discussions
Wikipedia:Conflict of interest/Noticeboard
Wikipedia:Criteria for speedy deletion
CWAp, CWAn
Wikipedia:New histmerge list
Wikipedia:Manual of Style
Wikipedia:New pages patrol
Wikipedia:Dashboard
reqmed
WAL
Wikipedia:Article Rescue Squadron
:Category:Candidates for speedy deletion
Wikipedia:Proposed deletion
samar
minax
Wikipedia:Revision deletion, tbl, unbl
Wikipedia:Notability (people)
Wikipedia:Village pump
Histmerge: parallel histories
Apple incident refs:Talk:Apple & Village pump (technical)
Help:Table
Wikipedia:Search engine test
Wikipedia:Cleaning department
|
Wikipedia:Requested moves
Candidates for history merging
histmerges asked for
Wikipedia:Deletion process
WAN
Wikipedia:Citing sources
disambig pages with links
Wikipedia:Resolving disputes
usernames for admin attention
{{intitle|zxcvbnm}} {{lookfrom|zxcvbnm}}
Special:AbuseFilter
AfD IfD CfD
{{uncat}}
{{wikify}}
{{sources}}
WikiProject Radio Stations
Wikimedia speedy deletions
Wikipedia:New pages patrol
Wikipedia:Missing Wikipedians
Identifying reliable sources
[[Wikipedi"
0,"""

 Your astonishment 

Regarding your recent discovery, you might be interested in knowing that there's even a porn related feature article!  |(talk) """
0,"List of Ministers-President of Bavaria 

I don't think, your removal of the table in the List of Ministers-President of Bavaria was very constructive, I've restored it. If you see a reason for it not being there, please say so in the edit summary or the talk page. Regards,"
0,"October 2007 (UTC)
Snarkiness aside the article clearly delves into why this character of one of the world's most popular shows in considered a gay icon (although a closeted one). Wasn't aware that a wikiproject had to demonstrate active members had contributed to the article although arguably we have as there's not a system for tracking which editor is working a behalf of which project so there's your speculation. As for tagging the article even if there's yet to be any confirmation of Smither's sexuality the tag covers articles of interest to LGBT people's issues not signifying the subject of an article is themselves LGBT. Benjiboi 00:16, 25"
0,"Taylor Perkinson 

The article I wrote about Taylor Perkinson was not an attack page. All I said is that he was a same-sex activist and a autism activist. You are being prejudice and assume that he is not actually gay, or that he supports gays and autistic societies. I feel like the page was wrongly deleted and should be put back."
0,as embodied by the IPCC report.  This is a perfect example of the type of OR that is rampant in the article
0,"Please start another article instead of making copies around 

It is easier to maintain."
0,"Reply to Nolelover 
Wow, thanks for being so considerate! D And it is quite alright about the page; there are rules, I should know. By the way, I am not actually new here. I've been here for a while, but never for too long a time because I could never really get the hang of it here. (After a while, I actually started contributing to the minor/ other wikis like Villains Wiki and TvTropes where the contributing and editing are not as precise as here on the main Wiki) Although, I was able to successfully create the Carver (film) page. 

Also, I'm not really all that into 4chan, but I did enjoy Ruby Quest and I thought that it, and the impact it had on the /tg/ community was worth noting on its own page. (or at least, the page probably needed some more work and better references)

...Anyway, thanks again for your support!"
0,"""

 Robert Sapolsky and shamanism 

Shouldn't Robert Sapolsky's theory about shamanism and schizotypalism as the source of schizophrenia be mentioned here? He is clearly a notable source on this subject. http://www.youtube.com/watch?v=4WwAQqWUkpI 173.17.92.242  
Before anyone else objects to Youtube as a source, I'll point out that this is Sapolsky giving a lecture. That said, this strikes me as a better fit for Causes of schizophrenia#Evolutionary psychology than here. It's a very speculative theory, albeit from a clearly notable commentator, with little experimental evidence, and it also focuses on what he calls schizotypical personality disorder, and not on schizophrenia per se.   
Pretty much what Tryptofish said... (talk · contribs) 
Only pretty much?   
(chuckle) look at my userpage at how I use language - I generally understate things - """"hypobole"""" - just a habit...maybe a self-soothing behaviour...just keepin' it casual.... (talk · contribs) 
   """
1,"""
I think the 1 million sales is total bullshit though. —  (talk2me) """
0,This proves me correct: you were here within minutes.
0,"The statement above is symptomatic of the hoaxer's insecurity at being revealed and is basic psychological projection as is made abundantly clear by reading everything the hoaxer has posted, and I might add by following my IP# trail on wikipedia, which has never been associated with perpetuating any of this hoax, on the contrary, I have been trying to expose it from the beginning.  hyper_individualist@yahoo.com"
0,"Warning

Talking about vandalism will get you deleted"
1,cut the ass bullshit you are the biggest asshole in asshole history. YOU ASS
0,"You are a complete waste of space, your overzealous editing of my talk page shows you are nothing more than just another Wikipedia speech control warrior."
0,"Characters 

This section needs sorting, It's longer thatn the plot, is of little use to anyone!
Some of the information presented, such as Gardner buying paraphanallia (right spelling?)
isn't even mentioned in the film."
0,"""
I think  is unaware of the connotations of the word """"defame"""", as I don't think English is his first language. He does use it a lot in connection with .  I nearly posted him a message about WP:LIBEL as a kind of friendly warning, but didn't think it was my place to.  I am not too happy about the collapsible thread either, PBS. I know we cannot have open edit-warring on the Talk page, but I was a bit uncomfortable with it for perhaps obvious reasons.   ~   """
0,"""
Are you aware that you wrote: """"When we have a dispute, and [sic] real Wikipedians try to use discussion and dispute resolution methods to, well, like """"resolve"""" the dispute, not stunts and protests to ramp it up""""? Thus demonstrating that you clearly consider that some """"Wikipedians"""" are not """"real Wikipedians""""? Clearly, these Wikipedians Are Not Wikipedians, and require some form of category for their philosophy. I propose we name it Category:Wikipedians who are not a Wikipedian.   
"""
1,"fuck you 

fuck you retard son of a bitch your ass is bigger that goatse, u suck 10 dicks at the same time and drink all the cum, your mom worked as a prostitute to buy condoms for your dad, that fucking retard, you are a failure at all you do, you should jump from the top of the empire state so the world becomes a better place, you are the reason of the global warming, you fart so much you drown everyone is with in a room, you waste precious oxygen that should be used by better people, you suck like all wikipedians

fuck you

ED"
0,"""=== 1 December 2006 ===

The edit you made to Grandfather clause (this revision) constitutes vandalism, and has been reverted. If you are interested in making useful contributions, see the welcome page and the introduction to editing. However, please do not continue to vandalise pages; such edits will be reverted and you will be blocked from further editing –  """
0,"More description needed 

How do the GunCons differ from other light guns? —"
0,"Our Defense 
These computers belong to our school district, so small middle-schoolers who have no respect for wikipedia tend to edit articles to their fancy. However, there are some us, espcially in high school, who NEED wikipedia in order to do research or create new articles relating to subjects or themes not yet elaborated upon. Also, I tend to edit articles if they've been vandalized, so this ban is frustrating. Thank you for reading."
0,"WP:UNDUE discusses the incorporation of minority views into articles. This article is about a scientific topic; whether this explanation is notable among creationists is irrelevant. Whether it's notable among scientists is, and I think the onus is on you and Tonicthebrown to demonstrate that it is, rather than on me to demonstrate that it isn't, given that it's being billed as a religion-based proposal."
0,"Wouldn't want to make things hard just to reflect facts )  Seriously, in my humble opinion, what needs to be reflected is that Maryland is a border state, containing characteristics of both the North and the South, being solidly in none, but nominally in both.  The thing about creating cultural, historical, and geographical borders is that one can't; there is always a grey area."
0,"Nee problem yenti babu. Kamma babu.
Why was I tagged with that caste above. Why did u make all those rubbish comments ?"
0,"""
 The original show was called """"Comment C'est Fait"""", so I presume the titles originally spelt """"Comment""""."""
