county_name,country_code,black_male_voted,black_male_perc,black_female_voted,black_female_perc,black_un_voted,black_un_perc,white_male_voted,white_male_perc,white_female_voted,white_female_perc,white_un_voted,white_un_perc,asia_male_voted,asia_male_perc,asia_female_voted,asia_female_perc,asia_un_voted,asia_un_perc,hisp_male_voted,hisp_un_perc,hisp_female_voted,hisp_famel_perc,hisp_unknown_voted,hisp_un_perc,natm_male_voted,natm_male_perc,natm_female_voted,natm_female_perc,natm_un_voted,natm_un_perc,other_male_voted,other_male_perc,other_female_voted,other_female_perc,other_un_voted,other_un_perc,unknown_male_voted,unknown_male_perc,unknown_female_voted,unknown_female_perc,unknown_un_voted,unknown_un_perc,total_voted,total_perc
APPLING,001,385,42.97,670,57.17,0,0,2561,66.66,2928,67.05,0,0,10,43.48,9,30,0,0,21,23.08,39,39,0,0,3,50,1,33.33,0,0,8,40,11,33.33,0,0,95,23.06,90,25.57,0,0,6831,60.2
ATKINSON,002,187,49.08,290,57.31,0,0,883,60.85,1028,60.94,1,100,1,100,0,0,0,0,32,27.83,54,35.06,0,0,1,100,2,40,0,0,6,50,2,25,0,0,19,22.35,22,23.91,2,50,2530,56.13
BACON,003,99,31.23,238,43.43,0,0,1520,65.83,1798,66.47,1,50,5,62.5,4,44.44,0,0,8,21.05,14,33.33,0,0,1,25,0,0,0,0,2,28.57,7,43.75,0,0,69,31.8,71,34.98,0,0,3837,59.69
BAKER,004,175,41.67,280,53.03,0,0,346,61.79,341,57.02,0,0,2,66.67,0,0,0,0,1,33.33,2,16.67,0,0,0,0,0,0,0,0,2,66.67,3,42.86,0,0,12,24.49,19,43.18,0,0,1183,52.98
BALDWIN,005,2208,53.89,3898,65.51,3,60,4178,68.97,4800,68.19,7,87.5,37,37.76,44,41.12,0,0,40,53.33,52,53.06,0,0,8,47.06,3,15.79,0,0,26,44.83,31,41.89,0,0,184,30.07,169,35.43,0,0,15688,63.27
BANKS,006,49,38.58,47,49.47,0,0,3096,64.51,3245,64.36,2,33.33,10,22.73,17,34.69,0,0,43,40.95,30,32.61,0,0,0,0,1,12.5,0,0,12,46.15,14,51.85,0,0,152,29.86,144,35.82,4,100,6866,60.54
BARROW,007,1120,46.86,1923,62.46,4,66.67,9957,59.17,11270,59.68,25,58.14,117,22.41,144,25.62,1,100,358,38.17,523,46.86,2,40,10,38.46,8,32,0,0,89,44.28,96,44.86,1,100,906,32.29,899,35.69,11,47.83,27464,54.72
BARTOW,008,1227,43.25,2083,56.1,2,33.33,14645,59.23,15706,57.83,17,44.74,57,31.15,74,37.76,1,100,310,37.13,367,41.7,0,0,18,35.29,13,28.89,0,0,83,35.32,118,51.3,0,0,1325,31.87,1384,36.54,13,52,37443,54.18
BEN HILL,009,560,42.17,1188,56.71,0,0,1749,64.21,1920,61.62,2,66.67,3,15,9,37.5,0,0,12,20.34,18,22.78,0,0,2,66.67,2,40,0,0,10,55.56,13,59.09,0,0,46,30.07,56,34.15,2,100,5592,56.97
BERRIEN,010,185,39.19,354,55.23,0,0,2659,60.6,2830,58.71,4,50,5,26.32,4,25,0,0,11,17.46,31,39.24,0,0,6,54.55,1,14.29,0,0,9,34.62,9,34.62,1,100,72,28.46,87,40.28,2,100,6270,56.75
BIBB,011,10661,46.41,19398,61.1,11,26.19,12636,64.17,14861,64.63,9,33.33,217,36.35,260,44.22,1,20,145,35.37,255,41.8,1,50,23,33.82,26,36.11,0,0,169,38.5,229,43.95,0,0,933,28.25,1015,35.17,17,28.81,60867,56.87
BLECKLEY,012,248,42.32,518,58.6,0,0,1909,73.48,2021,72.46,2,50,8,32,14,60.87,0,0,10,55.56,12,44.44,0,0,0,0,1,33.33,0,0,3,23.08,9,60,1,100,59,39.6,52,34.67,1,50,4868,66.78
BRANTLEY,013,52,41.60,108,64.29,0,0,2554,55.58,2782,54.93,0,0,4,66.67,4,44.44,0,0,7,29.17,7,23.33,0,0,4,66.67,1,25,0,0,4,26.67,11,40.74,0,0,85,25.6,60,23.44,0,0,5683,53.28
BROOKS,014,650,39.04,1156,53.89,0,0,1726,60.2,1860,60.25,1,50,5,45.45,8,36.36,0,0,20,31.25,32,39.02,0,0,3,60,2,25,0,0,14,50,12,46.15,0,0,128,40.13,130,45.61,0,0,5747,54.14
BRYAN,015,783,48.91,1166,56.44,2,50,5357,56.4,5892,55.16,7,46.67,63,35,78,36.97,0,0,128,36.26,178,38.78,0,0,21,58.33,15,50,0,0,48,36.64,83,50.61,1,100,592,36.36,603,38.73,5,33.33,15022,52.46
